Wall time,Step,Value
1691980914.8714523,1,0.5668380260467529
1691985932.6457162,2,0.20284447073936462
1691990936.962276,3,0.1417400985956192
1691995940.9913917,4,0.11410844326019287
1692000950.841526,5,0.0935048833489418
1692006048.3285737,6,0.07671599835157394
1692011321.3020785,7,0.0626334398984909
1692016771.080199,8,0.0509691946208477
1692022266.0743256,9,0.03953538089990616
1692027774.230776,10,0.030950356274843216
1692033218.9144297,11,0.02302798442542553
1692038706.5719948,12,0.021021828055381775
1692044199.2356877,13,0.019319314509630203
1692049635.7956696,14,0.0177791565656662
1692054681.9580271,15,0.01607251726090908
