Wall time,Step,Value
1691980914.8664691,1,0.48216795921325684
1691985932.6447196,2,0.18167419731616974
1691990936.9612794,3,0.12865115702152252
1691995940.990395,4,0.10466741770505905
1692000950.8405302,5,0.08647530525922775
1692006048.3275766,6,0.0714820995926857
1692011321.3020785,7,0.05905996263027191
1692016771.080199,8,0.048125773668289185
1692022266.0743256,9,0.03754468634724617
1692027774.230776,10,0.02955561876296997
1692033218.9144297,11,0.02220577374100685
1692038706.5719948,12,0.02029777131974697
1692044199.2356877,13,0.018631093204021454
1692049635.7956696,14,0.01712918095290661
1692054681.9560332,15,0.015511742793023586
