Wall time,Step,Value
1692555990.5606415,1,0.21910767257213593
1692561087.2817042,2,0.07122667133808136
1692566163.4146953,3,0.04673069715499878
1692571203.0995402,4,0.0369112454354763
1692576057.5513146,5,0.02765890397131443
1692580906.4084496,6,0.020834017544984818
1692585777.8547142,7,0.016395291313529015
1692590630.4697542,8,0.012183265760540962
1692595480.3371415,9,0.008654632605612278
1692600329.586347,10,0.005928938742727041
1692605184.0997458,11,0.004093480296432972
1692610040.7422402,12,0.003599850693717599
1692614900.3485148,13,0.0033525347243994474
1692619760.139748,14,0.002972912508994341
1692624638.6132586,15,0.0027270305436104536
