Wall time,Step,Value
1692555990.5795765,1,0.980712354183197
1692561087.2866879,2,0.997620165348053
1692566163.4186823,3,0.998345136642456
1692571203.1025271,4,0.9987927675247192
1692576057.5553017,5,0.9990543723106384
1692580906.41144,6,0.9993222951889038
1692585777.858701,7,0.9995555281639099
1692590630.473741,8,0.9996626973152161
1692595480.3401327,9,0.9998329281806946
1692600329.590329,10,0.99989914894104
1692605184.103733,11,0.9999684691429138
1692610040.7472243,12,0.9999653100967407
1692614900.3515036,13,0.99997478723526
1692619760.142738,14,0.9999873638153076
1692624638.6172438,15,0.9999842643737793
