Wall time,Step,Value
1691039645.3360796,1,0.10209999978542328
1691042177.334215,2,0.05169999971985817
1691044717.0800593,3,0.04500000178813934
1691047252.7612486,4,0.03909999877214432
1691049807.7593954,5,0.03579999879002571
1691052367.627804,6,0.032999999821186066
1691054922.7189631,7,0.030300000682473183
1691057489.8160367,8,0.027699999511241913
1691060075.7993443,9,0.026200000196695328
1691062665.3743336,10,0.024399999529123306
1691065259.161403,11,0.02239999920129776
1691067866.3668191,12,0.02199999988079071
1691070478.6440558,13,0.021700000390410423
1691073094.0754335,14,0.02160000056028366
1691075715.3795054,15,0.0210999995470047
1691078337.2491982,16,0.020999999716877937
1691080957.441219,17,0.02070000022649765
1691083579.0393932,18,0.0203000009059906
1691086196.3980336,19,0.020099999383091927
1691088810.0934324,20,0.019999999552965164
