Wall time,Step,Value
1690987628.8492436,1,0.004513897933065891
1690990237.4205198,2,0.008778976276516914
1690992852.3844283,3,0.005712186452001333
1690995463.2427955,4,0.017074473202228546
1690998078.4857764,5,0.003431464545428753
1691000686.884743,6,0.006008441094309092
1691003295.5889668,7,0.0035839995834976435
1691005906.6878827,8,0.00726278917863965
1691008508.996175,9,0.00368782551959157
1691011106.4920084,10,0.006135974545031786
1691013699.9537683,11,0.00504676578566432
1691016290.3857276,12,0.0035952269099652767
1691018875.2291965,13,0.0019219308160245419
1691021460.8081098,14,0.005624035838991404
1691024043.8117363,15,0.010337559506297112
1691026621.7257283,16,0.001675841980613768
1691029188.8467607,17,0.001056432956829667
1691031745.7858746,18,0.004488815553486347
1691034306.8288422,19,0.00348757766187191
1691036856.3241124,20,0.0023098981473594904
