Wall time,Step,Value
1691091673.378956,1,0.03280000016093254
1691094262.7288706,2,0.018400000408291817
1691096848.7101007,3,0.015300000086426735
1691099432.4852767,4,0.014000000432133675
1691102010.5010693,5,0.012299999594688416
1691104587.611779,6,0.011099999770522118
1691107175.4055314,7,0.010300000198185444
1691109760.1026711,8,0.00930000003427267
1691112338.9978426,9,0.00839999970048666
1691114918.4227033,10,0.007600000128149986
1691117499.9626102,11,0.006800000090152025
1691120081.0697403,12,0.0066999997943639755
1691122664.6081738,13,0.0066999997943639755
1691125244.9322238,14,0.006500000134110451
1691127835.7400737,15,0.006500000134110451
1691130419.3341596,16,0.006399999838322401
1691133003.5616965,17,0.006300000008195639
1691135589.6442492,18,0.006200000178068876
1691138183.4466355,19,0.006000000052154064
1691140777.9353895,20,0.006000000052154064
